Timestamp,Status,Attack Type,MSE
18:24:31,Anomaly,Unknown Anomaly,59.546243
18:24:31,Anomaly,Unknown Anomaly,59.546243
18:24:31,Anomaly,Unknown Anomaly,59.546243
18:24:31,Anomaly,Unknown Anomaly,59.546243
18:24:31,Anomaly,Unknown Anomaly,59.546243
18:24:31,Anomaly,Unknown Anomaly,3376270.672269
18:24:31,Anomaly,Unknown Anomaly,59.546243
18:24:32,Anomaly,Unknown Anomaly,139159.815126
18:24:32,Anomaly,Unknown Anomaly,488.621849
18:24:32,Anomaly,Unknown Anomaly,48.151298
18:24:32,Anomaly,Unknown Anomaly,59.546243
18:24:32,Anomaly,Unknown Anomaly,59.546243
18:24:32,Anomaly,Unknown Anomaly,59.546243
18:24:32,Anomaly,Unknown Anomaly,59.546243
18:24:32,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,4688630.403361
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:33,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:34,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:35,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:36,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:37,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:38,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:39,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:40,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:41,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:42,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:43,Anomaly,Unknown Anomaly,59.546243
18:24:44,Anomaly,Unknown Anomaly,59.546243
18:24:44,Anomaly,Unknown Anomaly,59.546243
18:24:44,Anomaly,Unknown Anomaly,59.546243
18:24:44,Anomaly,Unknown Anomaly,59.546243
18:24:44,Anomaly,Unknown Anomaly,59.546243
18:24:44,Anomaly,Unknown Anomaly,59.546243
18:32:09,Anomaly,Unknown Anomaly,336.554622
18:32:09,Anomaly,Unknown Anomaly,187.109244
18:32:10,Anomaly,Unknown Anomaly,317.798319
18:32:10,Anomaly,Unknown Anomaly,187.109244
18:32:10,Anomaly,Unknown Anomaly,49.966421
18:32:10,Anomaly,Unknown Anomaly,72.151276
18:32:10,Anomaly,Unknown Anomaly,49.966421
18:32:10,Anomaly,Unknown Anomaly,72.151276
18:32:10,Anomaly,Unknown Anomaly,49.966421
18:32:10,Anomaly,Unknown Anomaly,72.151276
18:32:11,Anomaly,Unknown Anomaly,49.966421
18:32:11,Anomaly,Unknown Anomaly,72.151276
18:32:11,Anomaly,Unknown Anomaly,49.966421
18:32:11,Anomaly,Unknown Anomaly,72.151276
18:32:11,Anomaly,Unknown Anomaly,49.966421
18:32:11,Anomaly,Unknown Anomaly,72.151276
18:32:11,Anomaly,Unknown Anomaly,396.050420
18:32:11,Anomaly,Unknown Anomaly,416.957983
18:32:11,Anomaly,Unknown Anomaly,59.546243
18:32:12,Anomaly,Unknown Anomaly,48.151298
18:32:12,Anomaly,Unknown Anomaly,27859.815126
18:32:12,Anomaly,Unknown Anomaly,163.109245
18:32:12,Anomaly,Unknown Anomaly,78.907575
18:32:12,Anomaly,Unknown Anomaly,59.546243
18:32:12,Anomaly,Unknown Anomaly,48.151298
